,age,bp,bgr,bu,sc,sod,pot,hemo,pcv,wbcc,rbcc
age,1.0,0.15947969344545337,0.24499219961690571,0.1969848707760298,0.13253086524238836,-0.10004598307595666,0.058377120010052824,-0.19292833896805278,-0.24211940926833334,0.1183385204297382,-0.26889628518789005
bp,0.15947969344545337,1.0,0.16019346180582386,0.18851724531031167,0.1462220201137379,-0.11642203572415327,0.07515106557193241,-0.30653988843986596,-0.3263193050079203,0.029753296531023356,-0.2619358101479628
bgr,0.24499219961690571,0.16019346180582386,1.0,0.14332202004581557,0.11487499984094192,-0.2678475861576871,0.06696579455295651,-0.3061892815042018,-0.30138474341005056,0.15001468216754757,-0.2815407123595222
bu,0.1969848707760298,0.18851724531031167,0.14332202004581557,1.0,0.5863678207097762,-0.32305423528935345,0.35704908135240276,-0.6103602784857809,-0.6076213553320017,0.05046201708217966,-0.5790865252805195
sc,0.13253086524238836,0.1462220201137379,0.11487499984094192,0.5863678207097762,1.0,-0.6901578920579919,0.326107131869241,-0.4016696244358097,-0.4041930644204253,-0.006389910334803712,-0.4008519768697742
sod,-0.10004598307595666,-0.11642203572415327,-0.2678475861576871,-0.32305423528935345,-0.6901578920579919,1.0,0.09788671547835194,0.36518265225752916,0.37691355206594357,0.007277275891274248,0.34487348202530804
pot,0.058377120010052824,0.07515106557193241,0.06696579455295651,0.35704908135240276,0.326107131869241,0.09788671547835194,1.0,-0.1337460417648209,-0.16318228377469515,-0.10557621833452108,-0.1583093171278074
hemo,-0.19292833896805278,-0.30653988843986596,-0.3061892815042018,-0.6103602784857809,-0.4016696244358097,0.36518265225752916,-0.1337460417648209,1.0,0.8953817669928053,-0.16941306580481444,0.7988802467445646
pcv,-0.24211940926833334,-0.3263193050079203,-0.30138474341005056,-0.6076213553320017,-0.4041930644204253,0.37691355206594357,-0.16318228377469515,0.8953817669928053,1.0,-0.19702236172906465,0.7916252713729908
wbcc,0.1183385204297382,0.029753296531023356,0.15001468216754757,0.05046201708217966,-0.006389910334803712,0.007277275891274248,-0.10557621833452108,-0.16941306580481444,-0.19702236172906465,1.0,-0.15816276252641195
rbcc,-0.26889628518789005,-0.2619358101479628,-0.2815407123595222,-0.5790865252805195,-0.4008519768697742,0.34487348202530804,-0.1583093171278074,0.7988802467445646,0.7916252713729908,-0.15816276252641195,1.0
